TIME(MS),COMMAND,VALUE
 001050 ,8      ,1
 001450 ,8      ,0
 001850 ,7      ,1
 002250 ,7      ,0
 002650 ,8      ,1
 003050 ,8      ,0
 003550 ,6      ,1
 003800 ,6      ,0
 004400 ,8      ,1
 004800 ,8      ,0
 005300 ,7      ,1
 005700 ,7      ,0
 006100 ,8      ,1
 006500 ,8      ,0
 006900 ,6      ,1
 007050 ,6      ,0
 007400 ,7      ,1
 007500 ,7      ,0
 007800 ,6      ,1
 007950 ,6      ,0
 008250 ,8      ,1
 008350 ,8      ,0
 008650 ,6      ,1
 008800 ,6      ,0
 009050 ,7      ,1
 009150 ,7      ,0
 009500 ,6      ,1
 009650 ,6      ,0
 009900 ,8      ,1
 010000 ,8      ,0
 010350 ,6      ,1
 010500 ,6      ,0
 010750 ,7      ,1
 010850 ,7      ,0
 011250 ,6      ,1
 011400 ,6      ,0
 011650 ,8      ,1
 011750 ,8      ,0
 012150 ,6      ,1
 012300 ,6      ,0
 012550 ,7      ,1
 012650 ,7      ,0
 012950 ,6      ,1
 013100 ,6      ,0
 013350 ,8      ,1
 013450 ,8      ,0
 013600 ,7      ,1
 013700 ,7      ,0
 014250 ,5      ,1
 014400 ,4      ,1
 014650 ,3      ,1
 014650 ,8      ,1
 015050 ,2      ,1
 015050 ,8      ,0
 015450 ,1      ,1
 015450 ,7      ,1
 015850 ,1      ,0
 015850 ,7      ,0
 016250 ,1      ,1
 016300 ,8      ,1
 016550 ,1      ,0
 016700 ,2      ,0
 016700 ,8      ,0
 017150 ,3      ,0
 017150 ,4      ,0
 017150 ,5      ,0
 017650 ,5      ,1
 017800 ,4      ,1
 018050 ,3      ,1
 018050 ,8      ,1
 018250 ,2      ,1
 018450 ,8      ,0
 018900 ,1      ,1
 018900 ,7      ,1
 019300 ,7      ,0
 019600 ,1      ,0
 019800 ,2      ,0
 019800 ,8      ,1
 019900 ,3      ,0
 020050 ,4      ,0
 020200 ,5      ,0
 020200 ,8      ,0
 021500 ,5      ,1
 021900 ,4      ,1
 022350 ,3      ,1
 022350 ,8      ,1
 022550 ,7      ,1
 022550 ,8      ,0
 022750 ,7      ,0
 022750 ,8      ,1
 022950 ,7      ,1
 022950 ,8      ,0
 023150 ,2      ,1
 023150 ,7      ,0
 023400 ,1      ,1
 023700 ,1      ,0
 024000 ,2      ,0
 024000 ,8      ,1
 024200 ,7      ,1
 024200 ,8      ,0
 024450 ,7      ,0
 024450 ,8      ,1
 024650 ,8      ,0
 024700 ,7      ,1
 024900 ,3      ,0
 024900 ,4      ,0
 024900 ,5      ,0
 024900 ,7      ,0
 025250 ,5      ,1
 025400 ,4      ,1
 025800 ,3      ,1
 026000 ,2      ,1
 026250 ,1      ,1
 026250 ,8      ,1
 026350 ,1      ,0
 026450 ,2      ,0
 026450 ,7      ,1
 026450 ,8      ,0
 026550 ,3      ,0
 026650 ,4      ,0
 026650 ,6      ,1
 026650 ,7      ,0
 026700 ,5      ,0
 026900 ,6      ,0
 027900 ,5      ,1
 028050 ,4      ,1
 028300 ,3      ,1
 028300 ,8      ,1
 028700 ,2      ,1
 028700 ,8      ,0
 029100 ,1      ,1
 029100 ,7      ,1
 029500 ,1      ,0
 029500 ,7      ,0
 029900 ,1      ,1
 029950 ,8      ,1
 030200 ,1      ,0
 030350 ,2      ,0
 030350 ,8      ,0
 030800 ,3      ,0
 030800 ,4      ,0
 030800 ,5      ,0
 031300 ,5      ,1
 031450 ,4      ,1
 031700 ,3      ,1
 031700 ,8      ,1
 031900 ,2      ,1
 032100 ,8      ,0
 032550 ,1      ,1
 032550 ,7      ,1
 032950 ,7      ,0
 033250 ,1      ,0
 033450 ,2      ,0
 033450 ,8      ,1
 033850 ,3      ,0
 033850 ,4      ,0
 033850 ,5      ,0
 033850 ,8      ,0
 034300 ,6      ,1
 034550 ,6      ,0
 035150 ,5      ,1
 035550 ,4      ,1
 036000 ,3      ,1
 036000 ,8      ,1
 036200 ,7      ,1
 036200 ,8      ,0
 036400 ,7      ,0
 036400 ,8      ,1
 036600 ,7      ,1
 036600 ,8      ,0
 036800 ,2      ,1
 036800 ,7      ,0
 037050 ,1      ,1
 037350 ,1      ,0
 037650 ,2      ,0
 037650 ,8      ,1
 037800 ,3      ,0
 037850 ,7      ,1
 037850 ,8      ,0
 037900 ,4      ,0
 038000 ,5      ,0
 038050 ,7      ,0
 038050 ,8      ,1
 038250 ,7      ,1
 038250 ,8      ,0
 038450 ,5      ,1
 038450 ,7      ,0
 038700 ,4      ,1
 039100 ,3      ,1
 039400 ,2      ,1
 039700 ,1      ,1
 040250 ,1      ,0
 040250 ,2      ,0
 040250 ,3      ,0
 040250 ,4      ,0
 040250 ,5      ,0
 040250 ,6      ,1
 040450 ,6      ,0
 041150 ,6      ,1
 041400 ,6      ,0
 042000 ,5      ,1
 042150 ,4      ,1
 042150 ,5      ,0
 042350 ,3      ,1
 042350 ,4      ,0
 042550 ,2      ,1
 042550 ,3      ,0
 042750 ,1      ,1
 042750 ,3      ,1
 042750 ,4      ,1
 042750 ,5      ,1
 042750 ,6      ,1
 042750 ,7      ,1
 042850 ,8      ,1
 042900 ,7      ,0
 043000 ,1      ,0
 043000 ,3      ,0
 043000 ,4      ,0
 043000 ,5      ,0
 043000 ,6      ,0
 043000 ,8      ,0
 043200 ,2      ,0
 043200 ,3      ,1
 043500 ,3      ,0
 043500 ,4      ,1
 043650 ,4      ,0
 043650 ,5      ,1
 044100 ,4      ,1
 044550 ,3      ,1
 044600 ,8      ,1
 044750 ,3      ,0
 044800 ,7      ,1
 044800 ,8      ,0
 044850 ,4      ,0
 045000 ,5      ,0
 045000 ,7      ,0
 045400 ,1      ,1
 045400 ,2      ,1
 045400 ,3      ,1
 045400 ,4      ,1
 045400 ,5      ,1
 045900 ,1      ,0
 046250 ,2      ,0
 046700 ,3      ,0
 047100 ,4      ,0
 047100 ,6      ,1
 047300 ,4      ,1
 047300 ,5      ,0
 047300 ,6      ,0
 047300 ,7      ,1
 047450 ,3      ,1
 047450 ,4      ,0
 047450 ,7      ,0
 047450 ,8      ,1
 047650 ,2      ,1
 047650 ,3      ,0
 047650 ,7      ,1
 047650 ,8      ,0
 047850 ,1      ,1
 047850 ,2      ,0
 047850 ,6      ,1
 047850 ,7      ,0
 048000 ,1      ,0
 048000 ,6      ,0
 048900 ,5      ,1
 048900 ,8      ,1
 049050 ,4      ,1
 049050 ,5      ,0
 049050 ,8      ,0
 049150 ,8      ,1
 049250 ,3      ,1
 049250 ,4      ,0
 049300 ,8      ,0
 049400 ,8      ,1
 049450 ,2      ,1
 049450 ,3      ,0
 049550 ,8      ,0
 049650 ,1      ,1
 049650 ,2      ,0
 049650 ,8      ,1
 049750 ,7      ,1
 049750 ,8      ,0
 049850 ,1      ,0
 049850 ,2      ,1
 049900 ,7      ,0
 050000 ,7      ,1
 050050 ,2      ,0
 050050 ,3      ,1
 050150 ,7      ,0
 050250 ,3      ,0
 050250 ,4      ,1
 050250 ,7      ,1
 050400 ,7      ,0
 050450 ,4      ,0
