TIME(MS),COMMAND,VALUE
 007250 ,1      ,1
 010150 ,1      ,0
 010150 ,2      ,1
 013100 ,2      ,0
 013100 ,3      ,1
 016000 ,3      ,0
 016000 ,4      ,1
 018950 ,4      ,0
 018950 ,5      ,1
 021850 ,4      ,1
 021850 ,5      ,0
 024800 ,3      ,1
 024800 ,4      ,0
 027950 ,2      ,1
 027950 ,3      ,0
 030150 ,2      ,0
 033350 ,6      ,1
 034400 ,1      ,1
 035300 ,1      ,0
 035300 ,4      ,1
 036300 ,2      ,1
 036300 ,4      ,0
 037250 ,2      ,0
 037250 ,3      ,1
 038250 ,3      ,0
 038250 ,5      ,1
 039200 ,1      ,1
 039200 ,5      ,0
 040200 ,1      ,0
 041100 ,6      ,0
 041100 ,7      ,1
 042000 ,2      ,1
 042000 ,4      ,1
 043000 ,1      ,1
 043000 ,2      ,0
 043000 ,3      ,1
 043000 ,4      ,0
 044000 ,1      ,0
 044000 ,2      ,1
 044000 ,3      ,0
 044000 ,5      ,1
 044200 ,7      ,0
 044200 ,8      ,1
 044500 ,2      ,0
 044500 ,5      ,0
 044950 ,3      ,1
 044950 ,5      ,1
 045900 ,2      ,1
 045900 ,3      ,0
 045900 ,4      ,1
 045900 ,5      ,0
 046900 ,1      ,1
 046900 ,2      ,0
 046900 ,3      ,1
 046900 ,4      ,0
 047450 ,1      ,0
 047450 ,3      ,0
 047450 ,8      ,0
 047800 ,1      ,1
 047800 ,2      ,1
 047800 ,3      ,1
 047800 ,4      ,1
 047800 ,5      ,1
 048100 ,1      ,0
 048100 ,2      ,0
 048100 ,3      ,0
 048100 ,4      ,0
 048100 ,5      ,0
 048100 ,6      ,1
 048800 ,1      ,1
 048800 ,2      ,1
 048800 ,3      ,1
 048800 ,4      ,1
 048800 ,5      ,1
 049100 ,1      ,0
 049100 ,2      ,0
 049100 ,3      ,0
 049100 ,4      ,0
 049100 ,5      ,0
 049100 ,6      ,0
 049100 ,8      ,1
 049850 ,1      ,1
 049850 ,5      ,1
 050750 ,2      ,1
 050750 ,4      ,1
 051750 ,3      ,1
 052700 ,1      ,0
 052700 ,2      ,0
 052700 ,3      ,0
 052700 ,4      ,0
 052700 ,5      ,0
 052700 ,6      ,1
 052700 ,8      ,0
 055050 ,6      ,0
 056600 ,7      ,1
 056600 ,8      ,1
 057550 ,6      ,1
 057550 ,8      ,0
 058500 ,7      ,0
 058500 ,8      ,1
 059500 ,6      ,0
 059500 ,7      ,1
 060400 ,6      ,1
 060450 ,8      ,0
 061400 ,7      ,0
 061400 ,8      ,1
 062350 ,6      ,0
 062350 ,7      ,1
 063350 ,6      ,1
 063350 ,8      ,0
 064300 ,1      ,1
 064400 ,2      ,1
 064400 ,7      ,0
 064600 ,3      ,1
 064800 ,4      ,1
 065000 ,5      ,1
 065300 ,1      ,0
 065300 ,2      ,0
 065300 ,3      ,0
 065300 ,4      ,0
 065500 ,4      ,1
 065650 ,3      ,1
 065800 ,2      ,1
 066000 ,1      ,1
 066250 ,1      ,0
 066250 ,2      ,0
 066250 ,3      ,0
 066250 ,4      ,0
 066250 ,5      ,0
 066350 ,1      ,1
 066350 ,5      ,1
 066450 ,2      ,1
 066600 ,4      ,1
 066800 ,3      ,1
 067000 ,2      ,0
 067000 ,4      ,0
 067300 ,1      ,0
 067300 ,2      ,1
 067300 ,3      ,0
 067300 ,4      ,1
 067300 ,5      ,0
 067450 ,1      ,1
 067450 ,2      ,0
 067450 ,3      ,1
 067450 ,4      ,0
 067450 ,5      ,1
 067650 ,6      ,0
 067650 ,7      ,1
 068050 ,1      ,0
 068050 ,3      ,0
 068050 ,5      ,0
 068050 ,7      ,0
 068050 ,8      ,1
 070100 ,1      ,1
 070100 ,7      ,1
 070100 ,8      ,0
 072050 ,5      ,1
 072050 ,6      ,1
 072050 ,7      ,0
 073000 ,2      ,1
 073000 ,6      ,0
 073000 ,8      ,1
 074000 ,4      ,1
 074000 ,7      ,1
 074000 ,8      ,0
 074900 ,3      ,1
 074900 ,6      ,1
 074900 ,7      ,0
 075850 ,5      ,0
 075900 ,4      ,0
 075950 ,3      ,0
 076000 ,2      ,0
 076100 ,1      ,0
 076100 ,6      ,0
 079700 ,3      ,1
 080700 ,2      ,1
 080700 ,4      ,1
 081650 ,1      ,1
 081650 ,5      ,1
 082650 ,1      ,0
 082650 ,2      ,0
 082650 ,3      ,0
 082650 ,4      ,0
 082650 ,5      ,0
 082650 ,8      ,1
 083300 ,7      ,1
 083300 ,8      ,0
 083500 ,3      ,1
 084500 ,2      ,1
 084500 ,4      ,1
 085500 ,1      ,1
 085500 ,5      ,1
 086400 ,1      ,0
 086400 ,2      ,0
 086400 ,3      ,0
 086400 ,4      ,0
 086400 ,5      ,0
