TIME(MS),COMMAND,VALUE
 000900 ,1      ,1
 000900 ,3      ,1
 000900 ,5      ,1
 000900 ,6      ,1
 002600 ,1      ,0
 002600 ,2      ,1
 002600 ,3      ,0
 002600 ,4      ,1
 002600 ,5      ,0
 004050 ,1      ,1
 004050 ,2      ,0
 004050 ,3      ,1
 004050 ,4      ,0
 004050 ,5      ,1
 004800 ,1      ,0
 004800 ,2      ,1
 004800 ,3      ,0
 004800 ,4      ,1
 004800 ,5      ,0
 005450 ,2      ,0
 005450 ,4      ,0
 005600 ,1      ,1
 005650 ,1      ,0
 005650 ,2      ,1
 005700 ,2      ,0
 005700 ,3      ,1
 005750 ,3      ,0
 005750 ,4      ,1
 005800 ,4      ,0
 005800 ,5      ,1
 005850 ,5      ,0
 005900 ,1      ,1
 005950 ,1      ,0
 005950 ,2      ,1
 006000 ,2      ,0
 006000 ,3      ,1
 006050 ,3      ,0
 006050 ,4      ,1
 006100 ,4      ,0
 006100 ,5      ,1
 006150 ,5      ,0
 006200 ,1      ,1
 006250 ,1      ,0
 006250 ,2      ,1
 006300 ,2      ,0
 006300 ,3      ,1
 006350 ,3      ,0
 006350 ,4      ,1
 006400 ,4      ,0
 006400 ,5      ,1
 006450 ,5      ,0
 006450 ,6      ,0
 006700 ,1      ,1
 006700 ,2      ,1
 006700 ,3      ,1
 006700 ,4      ,1
 006700 ,5      ,1
 007100 ,1      ,0
 007100 ,2      ,0
 007100 ,3      ,0
 007100 ,4      ,0
 007100 ,5      ,0
 007100 ,6      ,1
 007700 ,3      ,1
 007850 ,2      ,1
 007850 ,4      ,1
 008250 ,1      ,1
 008250 ,5      ,1
 008600 ,1      ,0
 008600 ,2      ,0
 008600 ,3      ,0
 008600 ,4      ,0
 008600 ,5      ,0
 008950 ,6      ,0
 009200 ,6      ,1
 009550 ,1      ,1
 009550 ,2      ,1
 009550 ,3      ,1
 009550 ,4      ,1
 009550 ,5      ,1
 009750 ,1      ,0
 009950 ,2      ,0
 010150 ,3      ,0
 010700 ,3      ,1
 010850 ,2      ,1
 011300 ,2      ,0
 011650 ,3      ,0
 011650 ,4      ,0
 012050 ,3      ,1
 012400 ,1      ,1
 012400 ,3      ,0
 012750 ,1      ,0
 012750 ,5      ,0
 013100 ,2      ,1
 013100 ,6      ,0
 013750 ,2      ,0
 013750 ,3      ,1
 013950 ,2      ,1
 013950 ,3      ,0
 014700 ,1      ,1
 014700 ,2      ,0
 015300 ,1      ,0
 015300 ,2      ,1
 015500 ,1      ,1
 015500 ,2      ,0
 016250 ,1      ,0
 016250 ,3      ,1
 016250 ,4      ,1
 016250 ,5      ,1
 016250 ,6      ,1
 017000 ,1      ,1
 017000 ,2      ,1
 017000 ,4      ,0
 017000 ,5      ,0
 017700 ,1      ,0
 017700 ,2      ,0
 017700 ,3      ,0
 017700 ,6      ,0
 017800 ,3      ,1
 017800 ,5      ,1
 018200 ,2      ,1
 018200 ,3      ,0
 018200 ,4      ,1
 018200 ,5      ,0
 018550 ,1      ,1
 018550 ,2      ,0
 018550 ,3      ,1
 018550 ,4      ,0
 019000 ,1      ,0
 019000 ,3      ,0
 019400 ,1      ,1
 019400 ,2      ,1
 019400 ,3      ,1
 019400 ,4      ,1
 019400 ,5      ,1
 020150 ,3      ,0
 020500 ,2      ,0
 020500 ,4      ,0
 020900 ,1      ,0
 020900 ,2      ,1
 020900 ,4      ,1
 020900 ,5      ,0
 020900 ,6      ,1
 021300 ,2      ,0
 021300 ,3      ,1
 021300 ,4      ,0
 021650 ,2      ,1
 021650 ,3      ,0
 021650 ,4      ,1
 022050 ,2      ,0
 022050 ,4      ,0
 022050 ,6      ,0
 022450 ,1      ,1
 022450 ,3      ,1
 022450 ,5      ,1
 023050 ,1      ,0
 023050 ,2      ,1
 023050 ,3      ,0
 023050 ,4      ,1
 023050 ,5      ,0
 023300 ,1      ,1
 023300 ,3      ,1
 023300 ,5      ,1
 023650 ,1      ,0
 023650 ,2      ,0
 023650 ,3      ,0
 023650 ,4      ,0
 023650 ,5      ,0
 024000 ,6      ,1
 025400 ,6      ,0
 025550 ,3      ,1
 026150 ,2      ,1
 026150 ,3      ,0
 026150 ,4      ,1
 026350 ,1      ,1
 026350 ,2      ,0
 026350 ,4      ,0
 026350 ,5      ,1
 026750 ,1      ,0
 026750 ,2      ,1
 026750 ,4      ,1
 026750 ,5      ,0
 027100 ,2      ,0
 027100 ,3      ,1
 027100 ,4      ,0
 027700 ,3      ,0
 027700 ,6      ,1
 027900 ,5      ,1
 027900 ,6      ,0
 028000 ,4      ,1
 028000 ,5      ,0
 028050 ,3      ,1
 028050 ,4      ,0
 028100 ,2      ,1
 028100 ,3      ,0
 028150 ,1      ,1
 028150 ,2      ,0
 028250 ,3      ,1
 028250 ,5      ,1
 028450 ,1      ,0
 028450 ,3      ,0
 028450 ,5      ,0
 028450 ,6      ,1
 028700 ,3      ,1
 028700 ,4      ,1
 028700 ,5      ,1
 028850 ,1      ,1
 028850 ,2      ,1
 028850 ,4      ,0
 028850 ,5      ,0
 029200 ,1      ,0
 029200 ,2      ,0
 029200 ,3      ,0
 029200 ,5      ,1
 029200 ,6      ,0
 029450 ,1      ,1
 029450 ,2      ,1
 029450 ,5      ,0
 029850 ,1      ,0
 029850 ,2      ,0
 029850 ,6      ,1
 030200 ,1      ,1
 030250 ,1      ,0
 030250 ,2      ,1
 030300 ,2      ,0
 030300 ,3      ,1
 030350 ,3      ,0
 030350 ,4      ,1
 030400 ,4      ,0
 030400 ,5      ,1
 030450 ,1      ,1
 030450 ,5      ,0
 030500 ,1      ,0
 030500 ,2      ,1
 030550 ,2      ,0
 030550 ,3      ,1
 030600 ,3      ,0
 030600 ,4      ,1
 030650 ,4      ,0
 030650 ,5      ,1
 030700 ,1      ,1
 030700 ,5      ,0
 030750 ,1      ,0
 030750 ,2      ,1
 030800 ,2      ,0
 030800 ,3      ,1
 030850 ,3      ,0
 030850 ,4      ,1
 030900 ,4      ,0
 030900 ,5      ,1
 030950 ,5      ,0
 030950 ,6      ,0
 031450 ,1      ,1
 031450 ,2      ,1
 031450 ,3      ,1
 031450 ,4      ,1
 031450 ,5      ,1
 031600 ,1      ,0
 031600 ,2      ,0
 031600 ,3      ,0
 031600 ,4      ,0
 031600 ,5      ,0
 031750 ,5      ,1
 031800 ,4      ,1
 031850 ,3      ,1
 031900 ,2      ,1
 031950 ,1      ,1
 032000 ,1      ,0
 032000 ,2      ,0
 032000 ,3      ,0
 032000 ,4      ,0
 032000 ,5      ,0
 032200 ,1      ,1
 032200 ,3      ,1
 032200 ,5      ,1
 032200 ,6      ,1
 032550 ,1      ,0
 032550 ,2      ,1
 032550 ,3      ,0
 032550 ,4      ,1
 032550 ,5      ,0
 032950 ,1      ,1
 032950 ,2      ,0
 032950 ,3      ,1
 032950 ,4      ,0
 032950 ,5      ,1
