TIME(MS),COMMAND,VALUE
 000700 ,1      ,1
 000700 ,3      ,1
 000700 ,5      ,1
 001000 ,1      ,0
 001000 ,2      ,1
 001000 ,3      ,0
 001000 ,4      ,1
 001000 ,5      ,0
 001150 ,1      ,1
 001150 ,2      ,0
 001150 ,3      ,1
 001150 ,4      ,0
 001150 ,5      ,1
 001450 ,1      ,0
 001450 ,3      ,0
 001450 ,5      ,0
 001600 ,2      ,1
 001600 ,4      ,1
 001750 ,2      ,0
 001750 ,4      ,0
 001900 ,1      ,1
 001900 ,3      ,1
 001900 ,5      ,1
 002050 ,1      ,0
 002050 ,3      ,0
 002050 ,5      ,0
 002150 ,2      ,1
 002150 ,4      ,1
 002300 ,2      ,0
 002300 ,4      ,0
 002600 ,1      ,1
 002600 ,3      ,1
 002600 ,5      ,1
 002800 ,1      ,0
 002800 ,3      ,0
 002800 ,5      ,0
 002900 ,2      ,1
 002900 ,4      ,1
 003050 ,2      ,0
 003050 ,4      ,0
 003150 ,1      ,1
 003150 ,3      ,1
 003150 ,5      ,1
 003400 ,1      ,0
 003400 ,3      ,0
 003400 ,5      ,0
 003450 ,2      ,1
 003450 ,4      ,1
 003600 ,2      ,0
 003600 ,4      ,0
 003650 ,1      ,1
 003650 ,3      ,1
 003650 ,5      ,1
 003900 ,1      ,0
 003900 ,3      ,0
 003900 ,5      ,0
 003950 ,2      ,1
 003950 ,4      ,1
 004100 ,2      ,0
 004100 ,4      ,0
 004150 ,1      ,1
 004150 ,3      ,1
 004150 ,5      ,1
 004400 ,1      ,0
 004400 ,3      ,0
 004400 ,5      ,0
 004450 ,2      ,1
 004450 ,4      ,1
 004600 ,2      ,0
 004600 ,4      ,0
 004600 ,6      ,1
 004850 ,6      ,0
 005050 ,6      ,1
 005300 ,6      ,0
 005500 ,6      ,1
 005750 ,6      ,0
 005950 ,6      ,1
 006200 ,6      ,0
 006400 ,6      ,1
 006650 ,6      ,0
 006850 ,6      ,1
 006950 ,7      ,1
 007100 ,6      ,0
 007100 ,7      ,0
 007100 ,8      ,1
 007250 ,8      ,0
 007300 ,6      ,1
 007550 ,6      ,0
 007600 ,8      ,1
 007750 ,6      ,1
 007750 ,8      ,0
 008000 ,6      ,0
 008100 ,7      ,1
 008100 ,8      ,1
 008450 ,7      ,0
 008450 ,8      ,0
 008550 ,1      ,1
 008550 ,3      ,1
 008550 ,5      ,1
 009000 ,1      ,0
 009000 ,2      ,1
 009000 ,3      ,0
 009000 ,4      ,1
 009000 ,5      ,0
 009500 ,1      ,1
 009500 ,2      ,0
 009500 ,3      ,1
 009500 ,4      ,0
 009500 ,5      ,1
 009950 ,1      ,0
 009950 ,2      ,1
 009950 ,3      ,0
 009950 ,4      ,1
 009950 ,5      ,0
 010450 ,2      ,0
 010450 ,4      ,0
 010550 ,1      ,1
 010550 ,3      ,1
 010550 ,5      ,1
 011000 ,1      ,0
 011000 ,2      ,1
 011000 ,3      ,0
 011000 ,4      ,1
 011000 ,5      ,0
 011500 ,2      ,0
 011500 ,4      ,0
 011550 ,1      ,1
 011550 ,2      ,1
 011550 ,3      ,1
 011550 ,4      ,1
 011550 ,5      ,1
 011850 ,1      ,0
 011850 ,2      ,0
 011850 ,3      ,0
 011850 ,4      ,0
 011850 ,5      ,0
 011900 ,7      ,1
 012100 ,7      ,0
 012100 ,8      ,1
 012300 ,8      ,0
 012500 ,1      ,1
 012500 ,3      ,1
 012500 ,5      ,1
 012950 ,1      ,0
 012950 ,2      ,1
 012950 ,3      ,0
 012950 ,4      ,1
 012950 ,5      ,0
 013450 ,2      ,0
 013450 ,4      ,0
 013550 ,1      ,1
 013550 ,3      ,1
 013550 ,5      ,1
 014000 ,1      ,0
 014000 ,2      ,1
 014000 ,3      ,0
 014000 ,4      ,1
 014000 ,5      ,0
 014500 ,2      ,0
 014500 ,4      ,0
 014550 ,1      ,1
 014550 ,3      ,1
 014550 ,5      ,1
 015000 ,1      ,0
 015000 ,2      ,1
 015000 ,3      ,0
 015000 ,4      ,1
 015000 ,5      ,0
 015500 ,2      ,0
 015500 ,4      ,0
 015550 ,1      ,1
 015550 ,2      ,1
 015550 ,3      ,1
 015550 ,4      ,1
 015550 ,5      ,1
 015850 ,1      ,0
 015850 ,2      ,0
 015850 ,3      ,0
 015850 ,4      ,0
 015850 ,5      ,0
 015900 ,7      ,1
 016100 ,7      ,0
 016100 ,8      ,1
 016300 ,8      ,0
 016500 ,1      ,1
 016500 ,3      ,1
 016500 ,5      ,1
 016950 ,1      ,0
 016950 ,2      ,1
 016950 ,3      ,0
 016950 ,4      ,1
 016950 ,5      ,0
 017450 ,2      ,0
 017450 ,4      ,0
 017550 ,1      ,1
 017550 ,3      ,1
 017550 ,5      ,1
 018000 ,1      ,0
 018000 ,2      ,1
 018000 ,3      ,0
 018000 ,4      ,1
 018000 ,5      ,0
 018500 ,2      ,0
 018500 ,4      ,0
 018550 ,1      ,1
 018550 ,3      ,1
 018550 ,5      ,1
 019000 ,1      ,0
 019000 ,2      ,1
 019000 ,3      ,0
 019000 ,4      ,1
 019000 ,5      ,0
 019500 ,2      ,0
 019500 ,4      ,0
 019550 ,1      ,1
 019550 ,2      ,1
 019550 ,3      ,1
 019550 ,4      ,1
 019550 ,5      ,1
 019800 ,1      ,0
 019800 ,2      ,0
 019800 ,3      ,0
 019800 ,4      ,0
 019800 ,5      ,0
 019850 ,7      ,1
 020050 ,7      ,0
 020050 ,8      ,1
 020250 ,8      ,0
 020400 ,6      ,1
 020700 ,6      ,0
 020900 ,1      ,1
 020900 ,3      ,1
 020900 ,5      ,1
 021350 ,1      ,0
 021350 ,2      ,1
 021350 ,3      ,0
 021350 ,4      ,1
 021350 ,5      ,0
 021850 ,2      ,0
 021850 ,4      ,0
 021950 ,1      ,1
 021950 ,3      ,1
 021950 ,5      ,1
 022400 ,1      ,0
 022400 ,2      ,1
 022400 ,3      ,0
 022400 ,4      ,1
 022400 ,5      ,0
 022900 ,2      ,0
 022900 ,4      ,0
 022950 ,1      ,1
 022950 ,3      ,1
 022950 ,5      ,1
 023400 ,1      ,0
 023400 ,2      ,1
 023400 ,3      ,0
 023400 ,4      ,1
 023400 ,5      ,0
 023900 ,2      ,0
 023900 ,4      ,0
 023950 ,1      ,1
 023950 ,2      ,1
 023950 ,3      ,1
 023950 ,4      ,1
 023950 ,5      ,1
 024200 ,1      ,0
 024200 ,2      ,0
 024200 ,3      ,0
 024200 ,4      ,0
 024200 ,5      ,0
 024450 ,1      ,1
 024450 ,3      ,1
 024450 ,5      ,1
 024900 ,1      ,0
 024900 ,2      ,1
 024900 ,3      ,0
 024900 ,4      ,1
 024900 ,5      ,0
 025400 ,2      ,0
 025400 ,4      ,0
 025500 ,1      ,1
 025500 ,3      ,1
 025500 ,5      ,1
 025950 ,1      ,0
 025950 ,2      ,1
 025950 ,3      ,0
 025950 ,4      ,1
 025950 ,5      ,0
 026450 ,2      ,0
 026450 ,4      ,0
 026500 ,1      ,1
 026500 ,3      ,1
 026500 ,5      ,1
 026950 ,1      ,0
 026950 ,2      ,1
 026950 ,3      ,0
 026950 ,4      ,1
 026950 ,5      ,0
 027450 ,2      ,0
 027450 ,4      ,0
 027500 ,1      ,1
 027500 ,2      ,1
 027500 ,3      ,1
 027500 ,4      ,1
 027500 ,5      ,1
 027750 ,1      ,0
 027750 ,2      ,0
 027750 ,3      ,0
 027750 ,4      ,0
 027750 ,5      ,0
 027800 ,7      ,1
 028000 ,7      ,0
 028000 ,8      ,1
 028200 ,8      ,0
 028400 ,1      ,1
 028400 ,3      ,1
 028400 ,5      ,1
 028850 ,1      ,0
 028850 ,2      ,1
 028850 ,3      ,0
 028850 ,4      ,1
 028850 ,5      ,0
 029350 ,2      ,0
 029350 ,4      ,0
 029450 ,1      ,1
 029450 ,3      ,1
 029450 ,5      ,1
 029900 ,1      ,0
 029900 ,2      ,1
 029900 ,3      ,0
 029900 ,4      ,1
 029900 ,5      ,0
 030400 ,2      ,0
 030400 ,4      ,0
 030450 ,1      ,1
 030450 ,3      ,1
 030450 ,5      ,1
 030900 ,1      ,0
 030900 ,2      ,1
 030900 ,3      ,0
 030900 ,4      ,1
 030900 ,5      ,0
 031400 ,2      ,0
 031400 ,4      ,0
 031450 ,1      ,1
 031450 ,2      ,1
 031450 ,3      ,1
 031450 ,4      ,1
 031450 ,5      ,1
 031700 ,1      ,0
 031700 ,2      ,0
 031700 ,3      ,0
 031700 ,4      ,0
 031700 ,5      ,0
 031700 ,7      ,1
 031900 ,7      ,0
 031900 ,8      ,1
 032100 ,8      ,0
 032400 ,1      ,1
 032400 ,3      ,1
 032400 ,5      ,1
 032850 ,1      ,0
 032850 ,2      ,1
 032850 ,3      ,0
 032850 ,4      ,1
 032850 ,5      ,0
 033350 ,2      ,0
 033350 ,4      ,0
 033450 ,1      ,1
 033450 ,3      ,1
 033450 ,5      ,1
 033900 ,1      ,0
 033900 ,2      ,1
 033900 ,3      ,0
 033900 ,4      ,1
 033900 ,5      ,0
 034400 ,2      ,0
 034400 ,4      ,0
 034450 ,1      ,1
 034450 ,3      ,1
 034450 ,5      ,1
 034900 ,1      ,0
 034900 ,2      ,1
 034900 ,3      ,0
 034900 ,4      ,1
 034900 ,5      ,0
 035400 ,2      ,0
 035400 ,4      ,0
 035450 ,1      ,1
 035450 ,2      ,1
 035450 ,3      ,1
 035450 ,4      ,1
 035450 ,5      ,1
 035700 ,1      ,0
 035700 ,2      ,0
 035700 ,3      ,0
 035700 ,4      ,0
 035700 ,5      ,0
 035700 ,7      ,1
 035900 ,7      ,0
 035900 ,8      ,1
 036100 ,8      ,0
 036350 ,6      ,1
 036600 ,6      ,0
 036800 ,1      ,1
 036800 ,3      ,1
 036800 ,5      ,1
 037250 ,1      ,0
 037250 ,2      ,1
 037250 ,3      ,0
 037250 ,4      ,1
 037250 ,5      ,0
 037750 ,2      ,0
 037750 ,4      ,0
 038000 ,3      ,1
 038150 ,2      ,1
 038150 ,4      ,1
 038300 ,1      ,1
 038300 ,5      ,1
 038450 ,6      ,1
 038550 ,7      ,1
 038600 ,8      ,1
 038800 ,1      ,0
 038800 ,5      ,0
 039000 ,2      ,0
 039000 ,4      ,0
 039100 ,3      ,0
 039300 ,6      ,0
 039400 ,7      ,0
 039500 ,8      ,0
 039750 ,1      ,1
 039750 ,3      ,1
 039750 ,5      ,1
 040200 ,1      ,0
 040200 ,2      ,1
 040200 ,3      ,0
 040200 ,4      ,1
 040200 ,5      ,0
 040700 ,2      ,0
 040700 ,4      ,0
 040800 ,1      ,1
 040800 ,3      ,1
 040800 ,5      ,1
 041250 ,1      ,0
 041250 ,2      ,1
 041250 ,3      ,0
 041250 ,4      ,1
 041250 ,5      ,0
 041750 ,2      ,0
 041750 ,4      ,0
 041800 ,1      ,1
 041800 ,3      ,1
 041800 ,5      ,1
 042250 ,1      ,0
 042250 ,2      ,1
 042250 ,3      ,0
 042250 ,4      ,1
 042250 ,5      ,0
 042750 ,2      ,0
 042750 ,4      ,0
 042850 ,1      ,1
 042850 ,3      ,1
 042850 ,5      ,1
 043300 ,1      ,0
 043300 ,2      ,1
 043300 ,3      ,0
 043300 ,4      ,1
 043300 ,5      ,0
 043750 ,2      ,0
 043750 ,4      ,0
 043850 ,1      ,1
 043850 ,3      ,1
 043850 ,5      ,1
 044200 ,1      ,0
 044200 ,2      ,1
 044200 ,3      ,0
 044200 ,4      ,1
 044200 ,5      ,0
 044700 ,2      ,0
 044700 ,4      ,0
 044800 ,1      ,1
 044800 ,3      ,1
 044800 ,5      ,1
 045250 ,1      ,0
 045250 ,2      ,1
 045250 ,3      ,0
 045250 ,4      ,1
 045250 ,5      ,0
 045750 ,2      ,0
 045750 ,4      ,0
 045800 ,1      ,1
 045800 ,3      ,1
 045800 ,5      ,1
 046250 ,1      ,0
 046250 ,2      ,1
 046250 ,3      ,0
 046250 ,4      ,1
 046250 ,5      ,0
 046750 ,2      ,0
 046750 ,4      ,0
 046800 ,1      ,1
 046800 ,2      ,1
 046800 ,3      ,1
 046800 ,4      ,1
 046800 ,5      ,1
 047050 ,1      ,0
 047050 ,2      ,0
 047050 ,3      ,0
 047050 ,4      ,0
 047050 ,5      ,0
 047100 ,7      ,1
 047300 ,7      ,0
 047300 ,8      ,1
 047500 ,6      ,1
 047500 ,8      ,0
 047700 ,6      ,0
 047750 ,1      ,1
 047750 ,3      ,1
 047750 ,5      ,1
 048200 ,1      ,0
 048200 ,2      ,1
 048200 ,3      ,0
 048200 ,4      ,1
 048200 ,5      ,0
 048700 ,2      ,0
 048700 ,4      ,0
 048800 ,1      ,1
 048800 ,3      ,1
 048800 ,5      ,1
 049250 ,1      ,0
 049250 ,2      ,1
 049250 ,3      ,0
 049250 ,4      ,1
 049250 ,5      ,0
 049750 ,2      ,0
 049750 ,4      ,0
 049800 ,1      ,1
 049800 ,3      ,1
 049800 ,5      ,1
 050250 ,1      ,0
 050250 ,2      ,1
 050250 ,3      ,0
 050250 ,4      ,1
 050250 ,5      ,0
 050750 ,2      ,0
 050750 ,4      ,0
 050850 ,1      ,1
 050850 ,3      ,1
 050850 ,5      ,1
 051300 ,1      ,0
 051300 ,2      ,1
 051300 ,3      ,0
 051300 ,4      ,1
 051300 ,5      ,0
 051750 ,2      ,0
 051750 ,4      ,0
 051850 ,1      ,1
 051850 ,3      ,1
 051850 ,5      ,1
 052200 ,1      ,0
 052200 ,3      ,0
 052200 ,5      ,0
 052250 ,6      ,1
 052700 ,5      ,1
 052700 ,6      ,0
 052900 ,4      ,1
 053100 ,3      ,1
 053300 ,2      ,1
 053500 ,1      ,1
 053900 ,1      ,0
 054100 ,2      ,0
 054250 ,3      ,0
 054400 ,4      ,0
 054500 ,5      ,0
 054500 ,7      ,1
 054700 ,7      ,0
 054700 ,8      ,1
 054900 ,8      ,0
 055200 ,6      ,1
 055250 ,7      ,1
 055350 ,7      ,0
 055350 ,8      ,1
 055450 ,7      ,1
 055450 ,8      ,0
 055550 ,7      ,0
 055550 ,8      ,1
 055650 ,7      ,1
 055650 ,8      ,0
 055750 ,6      ,0
 055750 ,7      ,0
 056200 ,1      ,1
 056200 ,3      ,1
 056200 ,5      ,1
 056650 ,1      ,0
 056650 ,2      ,1
 056650 ,3      ,0
 056650 ,4      ,1
 056650 ,5      ,0
 057150 ,2      ,0
 057150 ,4      ,0
 057250 ,1      ,1
 057250 ,3      ,1
 057250 ,5      ,1
 057700 ,1      ,0
 057700 ,2      ,1
 057700 ,3      ,0
 057700 ,4      ,1
 057700 ,5      ,0
 058200 ,2      ,0
 058200 ,4      ,0
 058250 ,1      ,1
 058250 ,3      ,1
 058250 ,5      ,1
 058700 ,1      ,0
 058700 ,2      ,1
 058700 ,3      ,0
 058700 ,4      ,1
 058700 ,5      ,0
 059200 ,2      ,0
 059200 ,4      ,0
 059250 ,1      ,1
 059250 ,2      ,1
 059250 ,3      ,1
 059250 ,4      ,1
 059250 ,5      ,1
 059550 ,1      ,0
 059550 ,2      ,0
 059550 ,3      ,0
 059550 ,4      ,0
 059550 ,5      ,0
 059550 ,7      ,1
 059750 ,7      ,0
 059750 ,8      ,1
 059950 ,8      ,0
 060200 ,1      ,1
 060200 ,3      ,1
 060200 ,5      ,1
 060650 ,1      ,0
 060650 ,2      ,1
 060650 ,3      ,0
 060650 ,4      ,1
 060650 ,5      ,0
 061150 ,2      ,0
 061150 ,4      ,0
 061250 ,1      ,1
 061250 ,3      ,1
 061250 ,5      ,1
 061700 ,1      ,0
 061700 ,2      ,1
 061700 ,3      ,0
 061700 ,4      ,1
 061700 ,5      ,0
 062200 ,2      ,0
 062200 ,4      ,0
 062250 ,5      ,1
 062400 ,4      ,1
 062400 ,5      ,0
 062550 ,3      ,1
 062550 ,4      ,0
 062650 ,6      ,1
 062700 ,2      ,1
 062700 ,3      ,0
 062750 ,6      ,0
 062850 ,1      ,1
 062850 ,2      ,0
 062850 ,6      ,1
 062950 ,6      ,0
 063000 ,1      ,0
 063000 ,2      ,1
 063050 ,6      ,1
 063150 ,2      ,0
 063150 ,3      ,1
 063150 ,6      ,0
 063250 ,6      ,1
 063300 ,3      ,0
 063300 ,4      ,1
 063350 ,6      ,0
 063450 ,4      ,0
 063450 ,5      ,1
 063450 ,6      ,1
 063550 ,6      ,0
 063600 ,5      ,0
 063600 ,7      ,1
 063800 ,7      ,0
 064100 ,8      ,1
 064400 ,8      ,0
 064600 ,1      ,1
 064600 ,3      ,1
 064600 ,5      ,1
 065050 ,1      ,0
 065050 ,2      ,1
 065050 ,3      ,0
 065050 ,4      ,1
 065050 ,5      ,0
 065550 ,2      ,0
 065550 ,4      ,0
 065650 ,1      ,1
 065650 ,3      ,1
 065650 ,5      ,1
 066100 ,1      ,0
 066100 ,2      ,1
 066100 ,3      ,0
 066100 ,4      ,1
 066100 ,5      ,0
 066600 ,2      ,0
 066600 ,4      ,0
 066650 ,1      ,1
 066650 ,3      ,1
 066650 ,5      ,1
 067100 ,1      ,0
 067100 ,2      ,1
 067100 ,3      ,0
 067100 ,4      ,1
 067100 ,5      ,0
 067600 ,2      ,0
 067600 ,4      ,0
 067650 ,1      ,1
 067650 ,2      ,1
 067650 ,3      ,1
 067650 ,4      ,1
 067650 ,5      ,1
 067900 ,1      ,0
 067900 ,2      ,0
 067900 ,3      ,0
 067900 ,4      ,0
 067900 ,5      ,0
 068000 ,7      ,1
 068250 ,7      ,0
 068250 ,8      ,1
 068500 ,8      ,0
 068650 ,1      ,1
 068650 ,3      ,1
 068650 ,5      ,1
 069100 ,1      ,0
 069100 ,2      ,1
 069100 ,3      ,0
 069100 ,4      ,1
 069100 ,5      ,0
 069600 ,2      ,0
 069600 ,4      ,0
 069650 ,1      ,1
 069650 ,3      ,1
 069650 ,5      ,1
 070100 ,1      ,0
 070100 ,3      ,0
 070100 ,5      ,0
 070150 ,1      ,1
 070150 ,2      ,1
 070150 ,3      ,1
 070150 ,4      ,1
 070150 ,5      ,1
 070250 ,1      ,0
 070250 ,2      ,0
 070250 ,3      ,0
 070250 ,4      ,0
 070250 ,5      ,0
 070350 ,1      ,1
 070350 ,2      ,1
 070350 ,3      ,1
 070350 ,4      ,1
 070350 ,5      ,1
 070450 ,1      ,0
 070450 ,2      ,0
 070450 ,3      ,0
 070450 ,4      ,0
 070450 ,5      ,0
 070550 ,1      ,1
 070550 ,2      ,1
 070550 ,3      ,1
 070550 ,4      ,1
 070550 ,5      ,1
 070650 ,1      ,0
 070650 ,2      ,0
 070650 ,3      ,0
 070650 ,4      ,0
 070650 ,5      ,0
 070650 ,8      ,1
 070850 ,7      ,1
 070850 ,8      ,0
 071000 ,6      ,1
 071000 ,7      ,0
 071400 ,6      ,0
 071400 ,7      ,1
 071550 ,7      ,0
 071550 ,8      ,1
 071750 ,8      ,0
 071900 ,8      ,1
 072100 ,1      ,1
 072100 ,3      ,1
 072100 ,5      ,1
 072100 ,8      ,0
 072550 ,1      ,0
 072550 ,2      ,1
 072550 ,3      ,0
 072550 ,4      ,1
 072550 ,5      ,0
 073050 ,2      ,0
 073050 ,4      ,0
 073150 ,1      ,1
 073150 ,3      ,1
 073150 ,5      ,1
 073600 ,1      ,0
 073600 ,2      ,1
 073600 ,3      ,0
 073600 ,4      ,1
 073600 ,5      ,0
 074100 ,2      ,0
 074100 ,4      ,0
 074150 ,1      ,1
 074150 ,3      ,1
 074150 ,5      ,1
 074600 ,1      ,0
 074600 ,2      ,1
 074600 ,3      ,0
 074600 ,4      ,1
 074600 ,5      ,0
 075100 ,2      ,0
 075100 ,4      ,0
 075150 ,1      ,1
 075150 ,2      ,1
 075150 ,3      ,1
 075150 ,4      ,1
 075150 ,5      ,1
 075400 ,1      ,0
 075400 ,2      ,0
 075400 ,3      ,0
 075400 ,4      ,0
 075400 ,5      ,0
 075450 ,7      ,1
 075650 ,7      ,0
 075650 ,8      ,1
 075850 ,8      ,0
 076050 ,1      ,1
 076050 ,3      ,1
 076050 ,5      ,1
 076500 ,1      ,0
 076500 ,2      ,1
 076500 ,3      ,0
 076500 ,4      ,1
 076500 ,5      ,0
 077000 ,2      ,0
 077000 ,4      ,0
 077100 ,1      ,1
 077100 ,3      ,1
 077100 ,5      ,1
 077550 ,1      ,0
 077550 ,2      ,1
 077550 ,3      ,0
 077550 ,4      ,1
 077550 ,5      ,0
 078050 ,2      ,0
 078050 ,4      ,0
 078100 ,1      ,1
 078100 ,3      ,1
 078100 ,5      ,1
 078550 ,1      ,0
 078550 ,2      ,1
 078550 ,3      ,0
 078550 ,4      ,1
 078550 ,5      ,0
 079050 ,2      ,0
 079050 ,4      ,0
 079100 ,1      ,1
 079100 ,2      ,1
 079100 ,3      ,1
 079100 ,4      ,1
 079100 ,5      ,1
 079350 ,1      ,0
 079350 ,2      ,0
 079350 ,3      ,0
 079350 ,4      ,0
 079350 ,5      ,0
 079400 ,7      ,1
 079600 ,7      ,0
 079600 ,8      ,1
 079800 ,8      ,0
 080050 ,1      ,1
 080050 ,3      ,1
 080050 ,5      ,1
 080500 ,1      ,0
 080500 ,2      ,1
 080500 ,3      ,0
 080500 ,4      ,1
 080500 ,5      ,0
 081000 ,2      ,0
 081000 ,4      ,0
 081100 ,1      ,1
 081100 ,3      ,1
 081100 ,5      ,1
 081550 ,1      ,0
 081550 ,2      ,1
 081550 ,3      ,0
 081550 ,4      ,1
 081550 ,5      ,0
 082050 ,2      ,0
 082050 ,4      ,0
 082100 ,1      ,1
 082100 ,3      ,1
 082100 ,5      ,1
 082550 ,1      ,0
 082550 ,2      ,1
 082550 ,3      ,0
 082550 ,4      ,1
 082550 ,5      ,0
 083050 ,2      ,0
 083050 ,4      ,0
 083100 ,1      ,1
 083100 ,2      ,1
 083100 ,3      ,1
 083100 ,4      ,1
 083100 ,5      ,1
 083350 ,1      ,0
 083350 ,2      ,0
 083350 ,3      ,0
 083350 ,4      ,0
 083350 ,5      ,0
 083400 ,7      ,1
 083600 ,7      ,0
 083600 ,8      ,1
 083800 ,8      ,0
 084050 ,6      ,1
 084300 ,6      ,0
 084650 ,1      ,1
 084650 ,3      ,1
 084650 ,5      ,1
 085100 ,1      ,0
 085100 ,2      ,1
 085100 ,3      ,0
 085100 ,4      ,1
 085100 ,5      ,0
 085600 ,2      ,0
 085600 ,4      ,0
 085650 ,1      ,1
 085650 ,3      ,1
 085650 ,5      ,1
 086000 ,1      ,0
 086000 ,3      ,0
 086000 ,5      ,0
 086150 ,3      ,1
 086300 ,2      ,1
 086300 ,4      ,1
 086450 ,1      ,1
 086450 ,5      ,1
 086600 ,6      ,1
 086700 ,7      ,1
 086750 ,8      ,1
 086950 ,1      ,0
 086950 ,5      ,0
 087150 ,2      ,0
 087150 ,4      ,0
 087250 ,3      ,0
 087450 ,6      ,0
 087550 ,7      ,0
 087650 ,8      ,0
 088100 ,1      ,1
 088100 ,3      ,1
 088100 ,5      ,1
 088550 ,1      ,0
 088550 ,2      ,1
 088550 ,3      ,0
 088550 ,4      ,1
 088550 ,5      ,0
 089050 ,2      ,0
 089050 ,4      ,0
 089150 ,1      ,1
 089150 ,3      ,1
 089150 ,5      ,1
 089600 ,1      ,0
 089600 ,2      ,1
 089600 ,3      ,0
 089600 ,4      ,1
 089600 ,5      ,0
 090100 ,2      ,0
 090100 ,4      ,0
 090150 ,1      ,1
 090150 ,3      ,1
 090150 ,5      ,1
 090600 ,1      ,0
 090600 ,2      ,1
 090600 ,3      ,0
 090600 ,4      ,1
 090600 ,5      ,0
 091100 ,2      ,0
 091100 ,4      ,0
 091200 ,1      ,1
 091200 ,3      ,1
 091200 ,5      ,1
 091650 ,1      ,0
 091650 ,2      ,1
 091650 ,3      ,0
 091650 ,4      ,1
 091650 ,5      ,0
 092100 ,2      ,0
 092100 ,4      ,0
 092200 ,1      ,1
 092200 ,3      ,1
 092200 ,5      ,1
 092550 ,1      ,0
 092550 ,2      ,1
 092550 ,3      ,0
 092550 ,4      ,1
 092550 ,5      ,0
 093050 ,2      ,0
 093050 ,4      ,0
 093150 ,1      ,1
 093150 ,3      ,1
 093150 ,5      ,1
 093750 ,1      ,0
 093750 ,2      ,1
 093750 ,3      ,0
 093750 ,4      ,1
 093750 ,5      ,0
 094300 ,1      ,1
 094300 ,2      ,0
 094300 ,3      ,1
