TIME(MS),COMMAND,VALUE
 000300 ,5      ,1
 000850 ,4      ,1
 001450 ,3      ,1
 001650 ,1      ,1
 001650 ,2      ,1
 002850 ,1      ,0
 002850 ,2      ,0
 002850 ,3      ,0
 002850 ,4      ,0
 002850 ,5      ,0
 002900 ,8      ,1
 003400 ,7      ,1
 003400 ,8      ,0
 003650 ,6      ,1
 003650 ,7      ,0
 003900 ,1      ,1
 003900 ,2      ,1
 003900 ,3      ,1
 003900 ,4      ,1
 003900 ,5      ,1
 003900 ,7      ,1
 003900 ,8      ,1
 004000 ,1      ,0
 004000 ,2      ,0
 004000 ,3      ,0
 004000 ,4      ,0
 004000 ,5      ,0
 004000 ,6      ,0
 004000 ,7      ,0
 004000 ,8      ,0
 004050 ,1      ,1
 004050 ,2      ,1
 004050 ,3      ,1
 004050 ,4      ,1
 004050 ,5      ,1
 004050 ,6      ,1
 004050 ,7      ,1
 004050 ,8      ,1
 004150 ,1      ,0
 004150 ,2      ,0
 004150 ,3      ,0
 004150 ,4      ,0
 004150 ,5      ,0
 004150 ,6      ,0
 004150 ,7      ,0
 004150 ,8      ,0
 004450 ,8      ,1
 004700 ,1      ,1
 004700 ,2      ,1
 004700 ,3      ,1
 004700 ,4      ,1
 004700 ,5      ,1
 004700 ,6      ,1
 004700 ,7      ,1
 005350 ,1      ,0
 005350 ,2      ,0
 005350 ,3      ,0
 005350 ,4      ,0
 005350 ,5      ,0
 005350 ,6      ,0
 005350 ,7      ,0
 005350 ,8      ,0
 005400 ,1      ,1
 005950 ,2      ,1
 006550 ,3      ,1
 006750 ,4      ,1
 006750 ,5      ,1
 007850 ,8      ,1
 007950 ,1      ,0
 007950 ,2      ,0
 007950 ,3      ,0
 007950 ,4      ,0
 007950 ,5      ,0
 008350 ,7      ,1
 008500 ,8      ,0
 008650 ,6      ,1
 008750 ,7      ,0
 009000 ,1      ,1
 009000 ,2      ,1
 009000 ,3      ,1
 009000 ,4      ,1
 009000 ,5      ,1
 009000 ,7      ,1
 009000 ,8      ,1
 009100 ,1      ,0
 009100 ,2      ,0
 009100 ,3      ,0
 009100 ,4      ,0
 009100 ,5      ,0
 009100 ,6      ,0
 009100 ,7      ,0
 009100 ,8      ,0
 009150 ,1      ,1
 009150 ,2      ,1
 009150 ,3      ,1
 009150 ,4      ,1
 009150 ,5      ,1
 009150 ,6      ,1
 009150 ,7      ,1
 009150 ,8      ,1
 009250 ,1      ,0
 009250 ,2      ,0
 009250 ,3      ,0
 009250 ,4      ,0
 009250 ,5      ,0
 009250 ,6      ,0
 009250 ,7      ,0
 009250 ,8      ,0
 009300 ,2      ,1
 009300 ,3      ,1
 009300 ,5      ,1
 009300 ,7      ,1
 009350 ,1      ,1
 009350 ,4      ,1
 009350 ,6      ,1
 009400 ,1      ,0
 009400 ,2      ,0
 009400 ,4      ,0
 009400 ,6      ,0
 009400 ,7      ,0
 009450 ,2      ,1
 009450 ,3      ,0
 009450 ,5      ,0
 009500 ,2      ,0
 009500 ,6      ,1
 009500 ,7      ,1
 009550 ,2      ,1
 009550 ,5      ,1
 009600 ,1      ,1
 009600 ,4      ,1
 009600 ,5      ,0
